,text,Sentiment
0,1,negative
1,0,negative
2,0,negative
3,0,negative
4,1,negative
5,1,negative
6,0,negative
7,0,negative
8,0,negative
9,0,negative
10,1,negative
11,1,negative
12,0,negative
13,1,negative
14,1,negative
15,1,negative
16,0,negative
17,0,negative
18,1,negative
19,0,negative
20,0,negative
21,0,negative
22,0,negative
23,0,negative
24,0,negative
25,0,negative
26,1,negative
27,0,negative
28,1,negative
29,1,negative
30,1,negative
31,0,negative
32,0,negative
33,0,negative
34,0,negative
35,1,negative
36,0,negative
37,0,negative
38,0,negative
39,0,negative
40,1,negative
41,0,negative
42,1,negative
43,0,negative
44,0,negative
45,0,negative
46,0,negative
47,0,negative
48,1,negative
49,1,negative
50,1,negative
51,1,negative
52,1,negative
53,0,negative
54,1,negative
55,1,negative
56,0,negative
57,1,negative
58,0,negative
59,0,negative
60,0,negative
61,0,negative
62,1,negative
63,0,negative
64,0,negative
65,0,negative
66,0,negative
67,0,negative
68,1,negative
69,0,negative
70,1,negative
71,1,negative
72,0,negative
73,0,negative
74,1,negative
75,0,negative
76,1,negative
77,1,negative
78,0,negative
79,1,negative
80,0,negative
81,1,negative
82,0,negative
83,0,negative
84,1,negative
85,0,negative
86,0,negative
87,1,negative
88,0,negative
89,1,negative
90,0,negative
91,1,negative
92,0,negative
93,0,negative
94,1,negative
95,1,negative
96,1,negative
97,0,negative
98,0,negative
99,0,negative
100,1,negative
101,0,negative
102,1,negative
103,1,negative
104,0,negative
105,1,negative
106,0,negative
107,0,negative
108,0,negative
109,0,negative
110,0,negative
111,0,negative
112,1,negative
113,0,negative
114,0,negative
115,0,negative
116,0,negative
117,0,negative
118,0,negative
119,1,negative
120,1,negative
121,0,negative
122,1,negative
123,1,negative
124,0,negative
125,0,negative
126,0,negative
