,text,Sentiment
0,1,['1']
1,0,['0']
2,0,['0']
3,0,['0']
4,1,['1']
5,1,['1']
6,0,['0']
7,0,['0']
8,0,['0']
9,0,['0']
10,1,['1']
11,1,['1']
12,0,['0']
13,1,['1']
14,1,['1']
15,1,['1']
16,0,['0']
17,0,['0']
18,1,['1']
19,0,['0']
20,0,['0']
21,0,['0']
22,0,['0']
23,0,['0']
24,0,['0']
25,0,['0']
26,1,['1']
27,0,['0']
28,1,['1']
29,1,['1']
30,1,['1']
31,0,['0']
32,0,['0']
33,0,['0']
34,0,['0']
35,1,['1']
36,0,['0']
37,0,['0']
38,0,['0']
39,0,['0']
40,1,['1']
41,0,['0']
42,1,['1']
43,0,['0']
44,0,['0']
45,0,['0']
46,0,['0']
47,0,['0']
48,1,['1']
49,1,['1']
50,1,['1']
51,1,['1']
52,1,['1']
53,0,['0']
54,1,['1']
55,1,['1']
56,0,['0']
57,1,['1']
58,0,['0']
59,0,['0']
60,0,['0']
61,0,['0']
62,1,['1']
63,0,['0']
64,0,['0']
65,0,['0']
66,0,['0']
67,0,['0']
68,1,['1']
69,0,['0']
70,1,['1']
71,1,['1']
72,0,['0']
73,0,['0']
74,1,['1']
75,0,['0']
76,1,['1']
77,1,['1']
78,0,['0']
79,1,['1']
80,0,['0']
81,1,['1']
82,0,['0']
83,0,['0']
84,1,['1']
85,0,['0']
86,0,['0']
87,1,['1']
88,0,['0']
89,1,['1']
90,0,['0']
91,1,['1']
92,0,['0']
93,0,['0']
94,1,['1']
95,1,['1']
96,1,['1']
97,0,['0']
98,0,['0']
99,0,['0']
100,1,['1']
101,0,['0']
102,1,['1']
103,1,['1']
104,0,['0']
105,1,['1']
106,0,['0']
107,0,['0']
108,0,['0']
109,0,['0']
110,0,['0']
111,0,['0']
112,1,['1']
113,0,['0']
114,0,['0']
115,0,['0']
116,0,['0']
117,0,['0']
118,0,['0']
119,1,['1']
120,1,['1']
121,0,['0']
122,1,['1']
123,1,['1']
124,0,['0']
125,0,['0']
126,0,['0']
